Year,Class_Name,Rank,Author_Name,Final_Score,Total_Papers,Paper_List_Details
2021,기계공학,1,김철희,0.2705,11,"[Review on the Recent Welding Research with Application of CNN-Based Deep Learning Part I: Models and Applications]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part I: 모델과 활용사례]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Review on the Recent Welding Research with Application of CNN-Based Deep Learning Part II: Model Evaluation and Visualizations]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part II: 모델의 평가와 시각화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part I: Al/Cu 이종재료 겹치기 레이저용접부의 용입깊이]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part Ⅱ: 고강도강 겹치기 레이저용접부의 형상 및 기계적 거동]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Al/Fe 이종재의 마이크로 마찰교반 맞대기용접 적용성 평가]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신 러닝을 이용한 레이저 용접의 용입깊이 모델링 및 공정변수 맵]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[기가급 초고강도 TRIP강의 기계적 특성에 미치는 고출력 레이저 입열의 영향]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[저항 점용접부 형상 및 파단 거동에 대한 머신러닝 모델 및 하이퍼파라미터 최적화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Ti 합금과 철강의 이종재료 접합공정 특성 리뷰]
   └ 학회: 대한용접·접합학회 (IF: 0.58)"
2021,기계공학,2,현승균,0.1769,7,"[Review on the Recent Welding Research with Application of CNN-Based Deep Learning Part I: Models and Applications]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part I: 모델과 활용사례]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Review on the Recent Welding Research with Application of CNN-Based Deep Learning Part II: Model Evaluation and Visualizations]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part II: 모델의 평가와 시각화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part I: Al/Cu 이종재료 겹치기 레이저용접부의 용입깊이]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part Ⅱ: 고강도강 겹치기 레이저용접부의 형상 및 기계적 거동]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Al/Fe 이종재의 마이크로 마찰교반 맞대기용접 적용성 평가]
   └ 학회: 대한용접·접합학회 (IF: 0.58)"
2021,기계공학,3,이성,0.1242,5,"[합성곱 신경망기반 딥러닝의 용접연구 적용 Part I: 모델과 활용사례]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part II: 모델의 평가와 시각화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part I: Al/Cu 이종재료 겹치기 레이저용접부의 용입깊이]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part Ⅱ: 고강도강 겹치기 레이저용접부의 형상 및 기계적 거동]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Al/Fe 이종재의 마이크로 마찰교반 맞대기용접 적용성 평가]
   └ 학회: 대한용접·접합학회 (IF: 0.58)"
2021,기계공학,4,이기동,0.1014,3,"[합성곱 신경망기반 딥러닝의 용접연구 적용 Part I: 모델과 활용사례]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[합성곱 신경망기반 딥러닝의 용접연구 적용 Part II: 모델의 평가와 시각화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[머신러닝을 이용한 레이저 용접부의 모델링 Part I: Al/Cu 이종재료 겹치기 레이저용접부의 용입깊이]
   └ 학회: 대한용접·접합학회 (IF: 0.58)"
2021,기계공학,5,김준성,0.0923,2,"[와이어-아크 적층제조 공정의 비드 결함 감지를 위한 기계학습 모델]
   └ 학회: (사)한국CDE학회 (IF: 1.13)
--------------------------------
[립모션과 기계학습을 이용한 가상공간 네비게이션용 손 제스처 인터페이스]
   └ 학회: (사)한국CDE학회 (IF: 1.13)"
2021,기계공학,6,박형준,0.0923,2,"[와이어-아크 적층제조 공정의 비드 결함 감지를 위한 기계학습 모델]
   └ 학회: (사)한국CDE학회 (IF: 1.13)
--------------------------------
[립모션과 기계학습을 이용한 가상공간 네비게이션용 손 제스처 인터페이스]
   └ 학회: (사)한국CDE학회 (IF: 1.13)"
2021,기계공학,7,유현정,0.081,3,"[머신 러닝을 이용한 레이저 용접의 용입깊이 모델링 및 공정변수 맵]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[저항 점용접부 형상 및 파단 거동에 대한 머신러닝 모델 및 하이퍼파라미터 최적화]
   └ 학회: 대한용접·접합학회 (IF: 0.58)
--------------------------------
[Ti 합금과 철강의 이종재료 접합공정 특성 리뷰]
   └ 학회: 대한용접·접합학회 (IF: 0.58)"
2021,기계공학,8,노명일,0.0795,1,"[자율 운항 선박을 위한 딥 러닝 기반 선박 이미지 분류 방법]
   └ 학회: (사)한국CDE학회 (IF: 1.13)"
2021,기계공학,9,이혜원,0.0795,1,"[자율 운항 선박을 위한 딥 러닝 기반 선박 이미지 분류 방법]
   └ 학회: (사)한국CDE학회 (IF: 1.13)"
2021,기계공학,10,이원재,0.0795,1,"[자율 운항 선박을 위한 딥 러닝 기반 선박 이미지 분류 방법]
   └ 학회: (사)한국CDE학회 (IF: 1.13)"
