Author Name,Author ID,Paper Count
여관현,343651315,8
김진우,112138,8
황영배,732202643,8
김범수,494655285,8
양정현,685003352,8
하성용,582188377,8
추상호,474240256,8
전정호,988026183,8
이장명,330622844,8
김성찬,4612667,8
최영철,832182188,8
이철웅,699946319,8
김배성,291428052,8
노대경,1423420,8
이대현,390797132,8
김현식,976970945,8
윤정환,148384621,8
전동산,405366226,8
김성희,644351577,8
박한훈,262931385,8
이동건,617710423,8
한승훈,553706828,8
이연우,494050676,8
송재민,265324186,8
심규식,328216092,8
최요한,781586101,8
정환종,781989273,8
송용우,309917850,8
고규현,687196576,8
김종규,511743666,8
한민철,454822356,8
이민우,5480258,8
서영욱,175718910,8
김현석,677485456,8
손채봉,146991175,8
이승우,938265763,8
김현규,706931120,8
오정화,2074775,8
이상권,411442173,8
서양우,2081858,8
이동원,496247667,8
박상희,505429993,8
조항만,425323684,8
박승연,599758350,8
김수홍,232910869,8
권성근,381531655,8
최재욱,732820108,8
임선빈,317577705,8
권순각,599700082,8
한경훈,992765091,8
윤영두,385952646,8
김기석,344158066,8
전우정,390715613,8
이기림,1886445,8
김승현,258792295,8
정유철,956651588,8
박형준,473469467,8
임세진,848541038,8
정종범,146273339,8
김재현,632762210,8
김장현,262814287,8
공정리,254186178,8
김원석,802235600,8
신창주,300893755,8
이영숙,437335030,8
박영철,798236176,8
전철민,411981434,8
김종덕,474813015,8
이경구,675525555,8
문주현,427134857,8
권순조,789754688,8
조대현,305761025,8
유윤섭,981984691,8
이미향,553969046,8
정영수,856338049,8
윤석태,273070675,8
권오경,312331359,8
임희원,547254907,8
구진희,964830757,8
조윤주,429717359,8
박철환,790780728,8
김기원,275442757,8
이덕희,533844635,8
유창경,103010617,8
정영수,784669808,8
남병욱,403859390,8
유재관,446663362,8
어재혁,888838814,8
엄시우,615875512,8
강석환,930424849,8
안병렬,376930999,8
유연승,763233547,8
박현범,620076774,8
정태용,142243704,8
김명호,339959292,8
김기철,546584426,8
조영,2279454,8
윤영삼,839744279,8
김동교,244069736,8
경갑수,144355779,8
이수용,442262144,8
신승구,350697728,8
김민기,241766407,8
조동현,876159527,8
홍석무,486226710,8
최대선,612045044,8
박동훈,215090946,8
윤창표,771387090,8
전성해,448766980,8
이승종,760723339,8
신혜경,730496901,8
진교홍,859362557,8
김진현,160050,8
