Year,NODE_CLSS_02,논문수,학회_순위(IF)
2023,건축공학,2301,"1. 국토계획 (1.2321)
2. 대한환경공학회지 (1.1938)
3. 한국측량학회지 (0.7222)
4. 대한공간정보학회지 (0.6462)
5. 한국강구조학회 논문집 (0.6)
6. 대한건축학회논문집 (0.5692)
7. KIEAE Journal (0.5338)
8. 터널과 지하공간 (0.5301)
9. 한국지반공학회논문집 (0.5)
10. 콘크리트학회 논문집 (0.448)
11. 한국자원공학회지 (0.4298)
12. 한국건축친환경설비학회 논문집 (0.4286)
13. 한국지반환경공학회 논문집 (0.3765)
14. 한국해안·해양공학회논문집 (0.3472)
15. 한국지반신소재학회 논문집 (0.3167)
16. International Journal of Concrete Structures and Materials (0.3143)
17. 한국가스학회지 (0.3069)
18. Environmental Engineering Research (0.2292)
19. 한국지열·수열에너지학회논문집 (0.2258)
20. ARCHITECTURAL RESEARCH (0)
21. 건축과사회 (0)
22. 건축환경설비 (0)
23. 대한토목학회지 (0)
24. 도시정보 (0)
25. 지반(한국지반공학회지) (0)
26. 지반환경 (0)
27. 콘크리트학회지 (0)
28. 한국강구조학회지 (0)
29. 한국건설순환자원학회논문집 (0)
30. 한국지반신소재학회지 (0)
31. 환경논총 (0)"
2023,공학 일반,1067,"1. 한국산업정보학회논문지 (1.4017)
2. 센서학회지 (0.1342)
3. 한국산학기술학회 논문지 (0)"
2023,기계공학,2565,"1. 한국연소학회지 (1.0851)
2. 한국CDE학회 논문집 (1.0097)
3. 한국수소및신에너지학회논문집 (0.625)
4. 한국소음진동공학회논문집 (0.5175)
5. 비파괴검사학회지 (0.4149)
6. 한국항공우주학회지 (0.4038)
7. 한국생산제조학회지 (0.3431)
8. 자동차안전학회지 (0.337)
9. 동력시스템공학회지 (0.3277)
10. 한국추진공학회지 (0.3273)
11. 한국기계가공학회지 (0.3101)
12. 항공우주시스템공학회지 (0.3094)
13. 한국전산유체공학회지 (0.2957)
14. 한국유체기계학회 논문집 (0.2877)
15. 에너지기후변화학회지 (0.2821)
16. 한국표면공학회지 (0.2212)
17. 기술과 교육 (0.1351)
18. International Journal of Aerospace System Engineering (0)
19. International Journal of Fluid Machinery and Systems (0)
20. Journal of Advanced Marine Engineering and Technology (JAMET) (0)
21. Journal of the Korean Society for Precision Engineering (0)
22. Tribology and Lubricants (0)
23. 기계기술정책 정책지 (0)
24. 기계산업연구 (0)
25. 기계저널 (0)
26. 대한기계학회 논문집 A권 (0)
27. 대한기계학회 논문집 B권 (0)
28. 대한용접·접합학회지 (0)
29. 드라이브·컨트롤 (0)
30. 설비공학논문집 (0)
31. 설비저널 (0)
32. 소음·진동 (0)
33. 오토저널 (0)
34. 한국자동차공학회논문집 (0)
35. 항공우주산업기술동향 (0)
36. 항공진흥 (0)
37. 환경에너지공학 (0)"
2023,기타 공학,386,"1. 대한교통학회지 (1.2333)
2. 한국위험물학회지 (0.4667)
3. 재활복지공학회논문지 (0.3571)
4. 교통기술과정책 (0)
5. 철도저널 (0)
6. 한국게임학회 논문지 (0)
7. 한국철도학회 논문집 (0)"
2023,산업공학,299,"1. 지능정보연구 (2.0968)
2. 대한산업공학회지 (0.4636)
3. 대한인간공학회지 (0.3902)
4. Industrial Engineering & Management Systems (0.1176)
5. 신뢰성응용연구 (0)
6. 한국 SCM 학회지 (0)"
2023,재료·에너지공학,303,"1. 한국태양에너지학회 논문집 (0.6417)
2. 에너지공학 (0.3457)
3. Current Photovoltaic Research (0.3415)
4. 한국압력기기공학회 논문집 (0.1379)
5. 소성·가공 (0)
6. 신·재생에너지 (0)
7. 태양에너지 (0)
8. 한국염색가공학회지 (0)
9. 한국태양광발전학회지 (0)"
2023,전기전자공학,3623,"1. 멀티미디어학회논문지 (0.5965)
2. 한국정보기술학회논문지 (0.5576)
3. 한국지능시스템학회 논문지 (0.5556)
4. 한국정보통신학회논문지 (0.5382)
5. 한국인터넷방송통신학회 논문지 (0.511)
6. The International Journal of Advanced Smart Convergence (0.4128)
7. 한국도시철도학회논문집 (0.4032)
8. 로봇학회 논문지 (0.3981)
9. 전기학회논문지 (0.3933)
10. 한국정보전자통신기술학회 논문지 (0.3821)
11. 한국가시화정보학회지 (0.3333)
12. 한국통신학회논문지 (0.3116)
13. 전기전자학회논문지 (0.2156)
14. 전자공학회논문지 (0.1924)
15. JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE (0.1802)
16. IEIE Transactions on Smart Processing & Computing (0.1654)
17. Broadcasting and Communication (0)
18. INTERNATIONAL JOURNAL of FUZZY LOGIC and INTELLIGENT SYSTEMS (0)
19. International JOURNAL OF CONTENTS (0)
20. Journal of Electromagnetic Engineering And Science (0)
21. Journal of information and communication convergence engineering (0)
22. The International Journal of Internet (0)
23. 국방로봇학회 논문집 (0)
24. 로봇과 인간 (0)
25. 방송공학회논문지 (0)
26. 방송과 미디어 (0)
27. 전기의세계 (0)
28. 전기학회논문지 P (0)
29. 전력전자학회논문지 (0)
30. 전력전자학회지 (0)
31. 전자공학회지 (0)
32. 전자파기술 (0)
33. 제어로봇시스템학회 논문지 (0)
34. 제어로봇시스템학회지 (0)
35. 조명·전기설비 (0)
36. 조명·전기설비학회논문지 (0)
37. 한국전자파학회논문지 (0)
38. 한국전지학회지 (0)
39. 한국정보기술학회지 (0)
40. 한국통신학회지(정보와통신) (0)"
2023,조선해양공학,241,"1. 한국해양공학회지 (0.5063)
2. 대한조선학회 논문집 (0.4902)
3. 대한조선학회지 (0)
4. 한국해양환경·에너지학회지 (0)"
2023,컴퓨터학,1416,"1. 디지털콘텐츠학회논문지 (1.5979)
2. 한국전자거래학회지 (1.4286)
3. 디지털포렌식연구 (0.7283)
4. 한국컴퓨터정보학회논문지 (0.6506)
5. 정보보호학회논문지 (0.4804)
6. 정보과학회 컴퓨팅의 실제 논문지 (0.3292)
7. JOURNAL OF PLATFORM TECHNOLOGY (0)
8. Journal of Computing Science and Engineering (0)
9. Journal of KIISE (0)
10. The Journal of Contents Computing (0)
11. 정보과학회지 (0)
12. 정보보호학회지 (0)
13. 컴퓨터그래픽스학회논문지 (0)
14. 한국컴퓨터정보학회지 (0)"
2023,화학공학,301,"1. KSBB Journal (0.339)
2. 폴리머 (0.2009)
3. BT NEWS (0)
4. 고분자 과학과 기술 (0)
5. 청정기술 (0)"
